station_complex_id,station_complex_name,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,poverty_source_nearest_gtfs,poverty_source_observed,travel_time_source_nearest_station_complex_id,travel_time_source_observed_gtfs,log_bus_routes_access_network,pct_hh_no_vehicle_access_network,pct_car_truck_van_access_network,log_citibike_0p5mi,subway_lines_serving_station,cluster
306,125 St (1),6426.772013,8.768383258,0,51,0.999999,9.091669442,10.97513966,1.997356139,3.713572067,2.82119237,18,18,1,2.944438979,0,32.28816687,0.03582565,4896.092067,-11.63046044,0,0,0,0,0,0,1,0,0,0,1,0,1,3.044522438,6.790258453,5.530124878,2.944438979,0,0
370,Whitlock Av (6),1227.233007,7.113331836,0,45.67,0.666666222,5.988961417,10.85560864,2.271875227,1.098612289,2.413278698,31,31,1,3.465735903,0,36.32551531,0.284166676,2527.709448,-32.50629321,1,0,0,0,1,0,0,0,0,0,0,0,1,1.386294361,18.44939047,17.6833551,2.564949357,0,0
287,Flushing Av (G),2241.859035,7.715506686,0,36.33,0.666666222,8.854379459,11.25167758,2.134548722,1.609437912,3.179979593,11,11,1,2.48490665,0,38.25112532,-0.789993414,7526.68813,481.2246616,0,0,0,0,0,1,0,0,0,0,1,0,1,2.890371758,15.03238908,11.57741529,2.944438979,0,0
2,"Astoria Blvd (N,W)",7942.654451,8.980128707,0,45,0.666666222,8.705331134,10.81530831,1.782123577,2.708050201,1.921697707,21,21.25,2,3.091042453,0,8.028216572,-0.455374436,3222.859855,-30.76579881,0,0,0,0,0,0,0,1,0,0,1,0,1,2.397895273,16.61206381,13.80609651,2.944438979,0,0
90,"Van Siclen Av (J,Z)",1702.305273,7.440325921,0,34,0.666666222,7.109879463,10.39007171,2.022113496,2.079441542,1.348081884,27,27.75,2,3.33220451,0,20.97705649,-1.115743704,2966.807477,-1.434582355,0,0,0,0,0,1,0,0,0,0,1,0,1,2.302585093,27.07240092,23.92141177,0.693147181,0,1
221,21 St-Queensbridge (M),5337.413703,8.582683829,0,33.67,0.49999975,8.976514972,9.923486239,2.131360712,2.302585093,2.095184147,12.5,12.5,1,2.602689685,0,27.16283586,-1.537573603,4459.047421,27.9686484,0,0,0,0,0,0,0,1,0,0,1,0,1,2.708050201,14.92477979,11.56322177,2.833213344,2,4
50,Avenue M (Q),4057.600931,8.308593595,0,38.67,0.666666222,9.395491256,10.72814534,1.572793303,1.386294361,2.521315985,35.5,35.5,1,3.597312261,0,17.83349047,-1.034782966,3405.479968,120.9416312,0,0,0,0,0,1,0,0,0,0,1,0,1,2.833213344,36.5511702,29.19157735,0,0,1
129,Halsey St (L),5460.994255,8.60556925,0,61.67,0.999999,7.729295674,10.81617179,1.942022742,2.48490665,2.120817034,21,21,1,3.091042453,0,14.22280827,-1.113164511,2352.129137,-21.74595916,0,0,0,0,0,0,0,1,0,0,1,0,1,2.890371758,26.2600941,22.43997825,3.218875825,2,4
308,Cathedral Pkwy (110 St) (1),8882.613994,9.091963734,0,51.33,0.999999,9.221675882,11.13906076,1.819313776,3.970291914,2.904115137,14.5,14.5,1,2.740840024,0,18.15968429,0.028564069,8591.538751,6.01558224,0,0,0,0,0,0,1,0,0,0,1,0,1,2.772588722,6.085094286,4.772674496,2.564949357,0,0
212,"Kingsbridge Rd (B,D)",4024.570936,8.300422027,0,47.67,0.666666222,8.196161139,11.40568541,2.037484593,2.302585093,2.282733407,32,35.75,2,3.496507561,0,36.32551531,0.284166676,8312.820301,-97.39037801,1,0,0,1,0,0,0,0,0,1,0,0,1,3.044522438,16.23087711,13.40976828,3.258096538,2,4
445,Pelham Pkwy (5),2093.033503,7.646847391,0,33,0.666666222,9.416541203,10.34942259,1.314923302,1.098612289,2.432977888,40.75,40.75,1,3.731699451,0,46.1,-0.51958042,1370.239551,-45.54696728,1,0,0,0,1,0,0,0,0,0,0,0,1,2.708050201,42.82202493,36.09431094,0,0,1
99,"Lorimer St (M,J)",2869.982765,7.962409677,0,59.67,0.999999,8.720460513,11.23351575,2.029161013,2.079441542,2.987935423,21.5,21.5,1,3.113515309,0,36.15509037,0.52614092,7194.539529,176.4055894,0,0,0,0,0,1,0,0,0,0,1,0,1,2.890371758,13.23128958,10.22584389,3.135494216,0,0
136,New Lots Av (L),2384.396831,7.777120776,0,60.67,0.999999,8.199464198,10.19544796,2.147949307,1.386294361,1.966309283,32,32,1,3.496507561,0,18.46294847,-0.893386688,2165.747756,57.1971834,0,0,0,0,0,1,0,0,0,0,1,0,1,2.708050201,23.31435287,19.64848517,0,2,4
256,Parsons Blvd (F),5091.986091,8.535619596,0,42.33,0.666666222,9.157466882,10.73162444,1.869029407,2.995732274,2.221241173,34.5,34.5,1,3.569532696,0,21.59806775,-0.390039189,4300.194739,52.21791037,0,0,0,0,0,0,0,1,0,0,1,0,1,3.951243719,35.67688132,31.22280948,0,4,4
134,Sutter Av (L),1726.838353,7.454626399,0,61.67,0.999999,7.526717561,10.61516204,2.087373961,1.098612289,1.732015185,29,29,1,3.401197382,0,41.61046037,-1.164302787,2473.268634,6.534147271,0,0,0,0,0,1,0,0,0,0,1,0,1,2.397895273,20.68321546,17.74929658,1.386294361,2,4
